GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.CommentContext,51,8,4,0,12,3,12,1,10,1
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.TabContext,47,8,4,0,11,3,11,1,9,1
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.GuitarString_eofContext,37,0,4,0,10,0,8,0,6,0
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.SixStrings_eofContext,37,0,4,0,10,0,8,0,6,0
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.GuitarStringContext,45,8,4,0,11,3,11,1,9,1
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.LengthLineContext,45,8,4,0,11,3,11,1,9,1
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.Comment_eofContext,37,0,4,0,10,0,8,0,6,0
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.LengthLine_eofContext,37,0,4,0,10,0,8,0,6,0
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrLexer,108,315,18,8,38,26,26,7,16,3
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrBaseListener,27,0,0,0,25,0,25,0,25,0
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.Tab_eofContext,29,8,4,0,7,3,7,1,5,1
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser,359,1198,7,32,97,239,20,27,13,12
GuitarTabLanguage,guitartab._parser,GuitarTabAntlrParser.SixStringsContext,43,8,4,0,10,3,10,1,8,1
GuitarTabLanguage,guitartab._parser,GuitarTabParser,256,60,19,1,72,15,27,4,17,4
GuitarTabLanguage,guitartab.utils,IndexRange,8,15,0,0,4,6,2,3,2,3
GuitarTabLanguage,guitartab.utils,LineUtils,26,199,3,23,5,41,4,18,1,8
GuitarTabLanguage,guitartab.utils,Notes,21,0,0,0,7,0,4,0,4,0
GuitarTabLanguage,guitartab._od,GuitarTab2OD,627,0,34,0,151,0,32,0,15,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabModelLoader,262,0,18,0,56,0,18,0,9,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabArtifactScopeBuilder,288,0,6,0,73,0,46,0,43,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabGlobalScope,87,0,6,0,23,0,12,0,9,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabSymTabMill,113,0,14,0,48,0,24,0,17,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabLanguage,36,0,0,0,11,0,7,0,7,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabSymbolTableCreator,250,0,22,0,55,0,27,0,16,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabArtifactScope,408,0,32,0,99,0,61,0,45,0
GuitarTabLanguage,guitartab._symboltable,IGuitarTabGlobalScope,4,0,0,0,2,0,2,0,2,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabScopeBuilder,407,0,10,0,107,0,61,0,56,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabSymbolTableCreatorBuilder,36,0,0,0,11,0,6,0,6,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabSymbolTableCreatorDelegator,61,0,4,0,13,0,4,0,2,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabSymbolTableCreatorDelegatorBuilder,48,0,4,0,17,0,9,0,7,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabGlobalScopeBuilder,46,0,4,0,16,0,9,0,7,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabScope,304,0,24,0,90,0,44,0,32,0
GuitarTabLanguage,guitartab._symboltable,GuitarTabModelLoaderBuilder,44,0,4,0,16,0,9,0,7,0
GuitarTabLanguage,guitartab._symboltable,IGuitarTabScope,6,0,0,0,4,0,2,0,2,0
GuitarTabLanguage,guitartab._cocos,GuitarTabCoCoChecker,127,177,4,8,28,40,21,13,17,11
GuitarTabLanguage,guitartab.cocos,AllLinesHaveTheSameLength,0,42,0,8,0,11,0,6,0,2
GuitarTabLanguage,guitartab.cocos,FretLimit,0,38,0,8,0,9,0,6,0,2
GuitarTabLanguage,guitartab.cocos,OneLengthPerNote,0,60,0,12,0,14,0,8,0,2
GuitarTabLanguage,guitartab.generator,MidiPythonGenerator,3,0,0,0,1,0,1,0,1,0
GuitarTabLanguage,guitartab._symboltable.serialization,GuitarTabScopeDeSer,237,0,16,0,62,0,21,0,13,0
GuitarTabLanguage,guitartab._symboltable.serialization,GuitarTabSymbolTablePrinter,172,0,16,0,44,0,21,0,13,0
GuitarTabLanguage,guitartab._ast,MCBasicsMillForGuitarTab,3,0,0,0,1,0,1,0,1,0
GuitarTabLanguage,guitartab._ast,GuitarTabMill,102,0,12,0,43,0,21,0,15,0
GuitarTabLanguage,guitartab._ast,GuitarTabNodeFactory,0,66,0,12,0,25,0,18,0,12
GuitarTabLanguage,guitartab._ast,ASTSixStrings,108,88,13,3,24,19,9,7,2,6
GuitarTabLanguage,guitartab._ast,ASTConstantsGuitarTab,23,0,0,0,7,0,3,0,3,0
GuitarTabLanguage,guitartab._ast,ASTGuitarString,27,8,0,0,6,3,4,2,4,2
GuitarTabLanguage,guitartab._ast,ASTCommentBuilder,740,0,10,0,194,0,112,0,107,0
GuitarTabLanguage,guitartab._ast,ASTTabBuilder,928,0,6,0,237,0,142,0,139,0
GuitarTabLanguage,guitartab._ast,ASTSixStringsTOP,771,54,94,2,200,16,129,8,81,8
GuitarTabLanguage,guitartab._ast,GuitarTabLiterals,15,0,0,0,5,0,3,0,3,0
GuitarTabLanguage,guitartab._ast,ASTTab,1016,31,112,0,268,10,171,5,115,5
